Combined_Regime,Days,Cum_Return,Avg_Cost,Avg_Payout,Avg_Gamma,Avg_Delta_Mem,Avg_VIX
BURN_IN,60,0.0,0.0,0.0,1.0,0.0,24.892000102996825
CAUTIOUS_BULL,278,2.9112178032789684,0.14255479992057457,2.998908473928294,1.0716904264152451,-4.368247413460763e-05,17.394928098582536
CRISIS_MODE,17,1.594164184993569,3.812683245706719,43.23199221160882,0.5916953451670414,-3.674763845350673e-06,32.520588257733515
GOLDILOCKS,515,3.941508799967875,0.0,0.0,1.190684081907887,-6.114211977733374e-05,17.349805815243027
RECOVERY_GROWTH,48,1.5881073328538546,0.23658157366225904,0.0,1.306354005349671,-7.367949021259389e-05,23.184166888395946
