Date,Baseline_NAV,Gamma_Only_NAV,Full_NAV,Full_Net_Return,Bench_Return,Combined_Regime,DDH_State,Adjusted_Gamma,VIX,Hedge_Payout_bps,Hedge_Cost_bps,God_Mode,Active_Securities
2022-05-31,1.0162948847188338,1.0162948847188338,1.0162948847188338,0.016294884718833808,66.39420318603516,GOLDILOCKS,NORMAL_TRENDING,1.1808884042045529,26.190000534057617,0.0,0.0,False,82
2022-06-01,1.0117588114473584,1.0117588114473584,1.0117588114473584,-0.0044633436020199225,65.85707092285156,GOLDILOCKS,NORMAL_TRENDING,1.1810177460120426,25.690000534057617,0.0,0.0,False,82
2022-06-02,1.0098470196344593,1.0098470196344593,1.0098470196344593,-0.0018895726839918598,67.13510131835938,GOLDILOCKS,NORMAL_TRENDING,1.1813761179443982,24.719999313354492,0.0,0.0,False,82
2022-06-03,1.0070933042830734,1.0070933042830734,1.0070933042830734,-0.0027268638693241504,65.88483428955078,GOLDILOCKS,NORMAL_TRENDING,1.1815530054003418,24.790000915527344,0.0,0.0,False,82
2022-06-06,1.007282205616395,1.007282205616395,1.007282205616395,0.0001875708363051341,66.5516586303711,GOLDILOCKS,NORMAL_TRENDING,1.181591476840782,25.06999969482422,0.0,0.0,False,82
2022-06-07,1.0033777885768351,1.0033777885768351,1.0033777885768351,-0.0038761898282227425,66.87579345703125,GOLDILOCKS,NORMAL_TRENDING,1.1818825660592,24.020000457763672,0.0,0.0,False,82
2022-06-08,1.0252800752250886,1.0252800752250886,1.0252800752250886,0.021828554406530226,67.42222595214844,GOLDILOCKS,NORMAL_TRENDING,1.182073218655768,23.959999084472656,0.0,0.0,False,82
2022-06-09,1.0237573225201244,1.0237573225201244,1.0237573225201244,-0.0014852065711213765,65.80977630615234,GOLDILOCKS,NORMAL_TRENDING,1.1815065593074747,26.09000015258789,0.0,0.0,False,82
2022-06-10,1.0131567797174301,1.0131567797174301,1.0131567797174301,-0.01035454650189912,65.25149536132812,GOLDILOCKS,NORMAL_TRENDING,1.1808207028997315,27.75,0.0,0.0,False,82
2022-06-13,0.9813465305451584,0.9813465305451584,0.980960566057647,-0.03177811598789534,63.092891693115234,CRISIS_MODE,FAST_SHOCK,0.589645465783151,34.02000045776367,0.0,3.9345566057007066,False,82
2022-06-14,0.9822435670402552,0.9823815726548855,0.9819952010843662,0.0010547162266442498,64.07915496826172,RECOVERY_GROWTH,RECOVERY_ACCEL,1.2969841392046875,32.689998626708984,0.0,0.0,False,82
2022-06-15,0.9882417373935404,0.9893035108456038,0.9889144168704667,0.007046079022035914,64.77699279785156,RECOVERY_GROWTH,RECOVERY_ACCEL,1.2975021291960689,29.6200008392334,0.0,0.0,False,82
2022-06-16,0.9653580010408769,0.9628708307030702,0.9624921327251952,-0.02671847401000356,62.860286712646484,RECOVERY_GROWTH,RECOVERY_ACCEL,1.2969986098928494,32.95000076293945,0.0,0.0,False,82
2022-06-17,0.9648276316046984,0.9622604426488951,0.9618819847371998,-0.0006339251691002196,63.23246765136719,RECOVERY_GROWTH,RECOVERY_ACCEL,1.297331528332837,31.1299991607666,0.0,0.0,False,82
2022-06-20,0.9690653105310312,0.967137061976713,0.9667566860861783,0.00506787883163279,63.23246765136719,RECOVERY_GROWTH,RECOVERY_ACCEL,1.297502285840057,31.1299991607666,0.0,0.0,False,82
2022-06-21,0.9888116250561289,0.9898759349685168,0.9894866158584488,0.023511530977138127,64.3862075805664,RECOVERY_GROWTH,RECOVERY_ACCEL,1.2977501307455999,30.190000534057617,0.0,0.0,False,82
2022-06-22,0.9625434570266203,0.9595338866926258,0.9591565011378804,-0.03065237491287834,63.213844299316406,RECOVERY_GROWTH,RECOVERY_ACCEL,1.297979752466686,28.950000762939453,0.0,0.0,False,82
2022-06-23,0.9761130225294741,0.9751421225509658,0.9747585982627899,0.016266476958035625,63.66976547241211,RECOVERY_GROWTH,RECOVERY_ACCEL,1.2982898259543751,29.049999237060547,0.0,0.0,False,82
2022-06-24,0.9966651305462401,0.9988325060159454,0.9984396642782974,0.024294287896215457,65.22359466552734,RECOVERY_GROWTH,RECOVERY_ACCEL,1.2987806683980931,27.229999542236328,0.0,0.0,False,82
2022-06-27,1.0163219877290723,1.02156281777715,1.0211610361871086,0.022756880282029796,65.14915466308594,RECOVERY_GROWTH,RECOVERY_ACCEL,1.2989231375519352,26.950000762939453,0.0,0.0,False,82
