Combined_Regime,Baseline_NAV,Gamma_Only_NAV,Full_NAV,Full_Net_Return,Bench_Return,Adjusted_Gamma,VIX,Hedge_Payout_bps,Hedge_Cost_bps,God_Mode,Active_Securities
CAUTIOUS_BULL,1.3290184471122715,1.3470235170584344,1.3252116499879496,0.0007107052870052882,66.07188867996167,1.062019872432379,17.209621480586776,0.0,0.14277032248007998,0.0,82.0
CRISIS_MODE,1.0849279561097185,1.0962752141450656,1.085021582684409,-0.0036855686104345867,57.92337823683216,0.5889652133947371,31.874838859804214,0.0,3.8244173119495786,0.0,82.0
GOLDILOCKS,1.6499608146599523,1.6832791546309769,1.6536471356409435,0.0011094745826055587,73.69973471856886,1.1800336229584283,17.779297915536493,0.0,0.0,0.0,82.0
RECOVERY_GROWTH,1.3886926143445237,1.409976161133804,1.3867936832336272,0.002374205484746168,67.28198954933568,1.2975765808580983,21.123289622758563,0.0,0.0,0.0,82.0
WHIPSAW,0.9344767480527132,0.9369442485772329,0.9280544755111578,0.01507812108939257,55.90062193437056,0.8237039216432218,24.710909236561168,0.0,0.0,0.0,82.0
