nav,nav_west,nav_east,cash_west,cash_east,pnl_pct,pos_NVDA,pos_QQQ,pos_IBIT,pos_XLE,pos_600519.SS,pos_601899.SS,pos_300750.SZ,date,risk_prob,action,event,scout_action_QQQ,scout_expl_QQQ,scout_action_XLE,scout_expl_XLE,scout_action_NVDA,scout_expl_NVDA,scout_action_601899.SS,scout_expl_601899.SS,scout_action_300750.SZ,scout_expl_300750.SZ,scout_action_600519.SS,scout_expl_600519.SS,veto_log
10970526.54,5472260.81,5498265.73,1223293.55,-21.46,0.0,74873.5219184648,5326.189323799605,0.0,35655.85701185001,831.749254055798,250750.5780804822,6022.9202412231625,2023-01-17,51.3,SWARM_ACTIVE,NORMAL,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,
10921755.72,5402158.87,5519596.85,1182830.35,12886.06,0.0,75394.9689425411,5376.1439948077095,0.0,36099.53752273659,831.749254055798,250750.5780804822,5967.616528068848,2023-01-18,51.3,SWARM_ACTIVE,NORMAL,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,
10908930.2,5359544.45,5549385.74,1166587.52,1531.9,0.0,77176.35189133973,5411.408643262197,0.0,35526.61424752926,837.3046275210023,251064.23542714407,5961.012835396614,2023-01-19,52.4,SWARM_ACTIVE,NORMAL,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,
11124820.92,5496594.81,5628226.11,1240129.97,-1.53,0.0,73565.56701309478,5348.882430473935,0.0,35724.257916867566,838.2139960319155,251064.23542714407,5961.012835396614,2023-01-20,52.9,SWARM_ACTIVE,NORMAL,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,
11259170.11,5630945.53,5628224.58,1328087.21,-1.53,0.0,68914.0249192845,5293.134496842526,0.0,36137.98720927487,838.2139960319155,251064.23542714407,5961.012835396614,2023-01-23,52.1,SWARM_ACTIVE,NORMAL,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,
11255224.05,5626999.47,5628224.58,1339521.93,-1.53,0.0,67984.26035572056,5291.978633178122,0.0,36303.84650279189,838.2139960319155,251064.23542714407,5961.012835396614,2023-01-24,52.8,SWARM_ACTIVE,NORMAL,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,
11255975.28,5627750.7,5628224.58,1359557.46,-1.53,0.0,67062.78201312208,5280.121015025597,0.0,36330.372953199,838.2139960319155,251064.23542714407,5961.012835396614,2023-01-25,53.6,SWARM_ACTIVE,NORMAL,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,
11363912.49,5735687.91,5628224.58,1434416.79,-1.53,0.0,66258.7673712265,5204.551572014605,0.0,35444.62692046093,838.2139960319155,251064.23542714407,5961.012835396614,2023-01-26,53.9,SWARM_ACTIVE,NORMAL,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,
11385931.64,5757707.07,5628224.58,1431804.96,-1.53,0.0,65209.560751310135,5176.825680587504,0.0,36220.27504108333,838.2139960319155,251064.23542714407,5961.012835396614,2023-01-27,52.0,SWARM_ACTIVE,NORMAL,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,
11232264.59,5614621.32,5617643.27,1356764.55,28039.41,0.0,67458.43168219477,5222.210125207662,0.0,36691.51865335263,838.2139960319155,251064.23542714407,5846.5225343386555,2023-01-30,52.0,SWARM_ACTIVE,NORMAL,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,
11305578.63,5675226.25,5630352.38,1418456.92,-28.04,0.0,66068.85216687489,5145.960934757974,0.0,36382.178595687554,854.9873375374775,251064.23542714407,5846.5225343386555,2023-01-31,55.1,SWARM_ACTIVE,NORMAL,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,
11549118.39,5770720.88,5778397.52,1414062.84,3186.0,0.0,63453.67260508808,5138.666004256894,0.0,37917.63098935624,854.9873375374775,251064.23542714407,5833.568957373432,2023-02-01,53.6,SWARM_ACTIVE,NORMAL,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,
11531033.34,5839246.44,5691786.9,1472759.48,-3.19,0.0,61151.64929086392,4972.371373346428,0.0,38997.00203727852,856.9032411376027,251064.23542714407,5833.568957373432,2023-02-02,52.4,SWARM_ACTIVE,NORMAL,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,
11367183.79,5771494.07,5595689.73,1477351.82,-3.19,0.0,61350.111413798164,4969.260960014376,0.0,38794.75566889081,856.9032411376027,251064.23542714407,5833.568957373432,2023-02-03,53.7,SWARM_ACTIVE,NORMAL,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,
11203518.19,5751329.44,5452188.75,1548989.83,-3.19,0.0,59879.3933708566,4897.60074787369,0.0,38294.03358431695,856.9032411376027,251064.23542714407,5833.568957373432,2023-02-06,55.5,SWARM_ACTIVE,NORMAL,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,
11380742.75,5894450.95,5486291.8,1629499.26,-3.19,0.0,58089.54115793465,4854.223927344784,0.0,37598.965897566486,856.9032411376027,251064.23542714407,5833.568957373432,2023-02-07,54.8,SWARM_ACTIVE,NORMAL,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,
11285164.95,5856537.08,5428627.88,1628073.83,-3.19,0.0,57320.77057512042,4888.91402405975,0.0,37803.043238461985,856.9032411376027,251064.23542714407,5833.568957373432,2023-02-08,53.3,SWARM_ACTIVE,NORMAL,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,
11317997.73,5838334.76,5479662.98,1628768.64,-3.19,0.0,56642.471243164,4909.321999337746,0.0,38016.33594986731,856.9032411376027,251064.23542714407,5833.568957373432,2023-02-09,55.0,SWARM_ACTIVE,NORMAL,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,
11228952.1,5826484.17,5402467.93,1673158.57,-3.19,0.0,58177.990763131864,4894.038683831241,0.0,36234.22100816226,856.9032411376027,251064.23542714407,5833.568957373432,2023-02-10,55.0,SWARM_ACTIVE,NORMAL,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,NORMAL,Clear,
