Date,NVDA_Score,QQQ_Score,GLD_Score,XLE_Score,GDX_Score,MOO_Score,PHO_Score,PBJ_Score,Portfolio,Leverage_Used
2025-01-21 20:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0
2025-01-22 14:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0
2025-01-22 15:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0
2025-01-22 16:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0
2025-01-22 17:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0
2025-01-22 18:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0
2025-01-22 19:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0
2025-01-23 14:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0
2025-01-23 15:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0
2025-01-23 16:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0
2025-01-23 17:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0
2025-01-23 18:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0
2025-01-23 19:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0
2025-01-23 20:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0
2025-01-24 14:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0
2025-01-24 15:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0
2025-01-24 16:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0
2025-01-24 20:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0
2025-01-27 14:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0
2025-01-27 15:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0
2025-01-27 16:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0
2025-01-27 17:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0
2025-01-27 18:30:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0
2025-01-27 19:30:00+00:00,-0.0016751080926077078,-0.003476691335482281,-0.002073890831525409,-0.0017272723531327235,0.0106746353190739,0.0022128613208515107,-0.004312001129749292,0.005463817577294869,1000000.0,0.0
2025-01-27 20:30:00+00:00,0.004308249006047783,0.0009616517202077476,-0.005077008309993453,-0.004540715691046986,0.030869378669183357,0.005420588030627296,0.005637909066789314,0.006192841847811955,1000000.0,1.9507209067170013
2025-01-28 14:30:00+00:00,-0.0029372054009350985,0.01034169017917499,-0.004317854089399932,-0.015901109215499677,0.04457239481421702,0.009591374113581614,0.013498922455252207,0.02101582319934548,1002087.2974469722,2.0
